class,recall,precision,f1,n_images,n_errors,val_recall,recall_delta
Apple___Apple_scab,0.9894736842105263,0.9591836734693877,0.9740932642487047,95,1,0.9894736842105264,-1.1102230246251565e-16
Apple___Black_rot,1.0,1.0,1.0,93,0,1.0,0.0
Apple___Cedar_apple_rust,1.0,1.0,1.0,41,0,1.0,0.0
Apple___healthy,0.9959514170040485,0.9959514170040485,0.9959514170040485,247,1,0.9959514170040484,1.1102230246251565e-16
Blueberry___healthy,1.0,1.0,1.0,225,0,1.0,0.0
Cherry_(including_sour)___Powdery_mildew,0.9873417721518988,1.0,0.9936305732484076,158,2,0.9873417721518988,0.0
Cherry_(including_sour)___healthy,0.9921875,1.0,0.996078431372549,128,1,0.9921875,0.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.948051948051948,0.9012345679012346,0.9240506329113924,77,4,0.948051948051948,0.0
Corn_(maize)___Common_rust_,1.0,1.0,1.0,179,0,1.0,0.0
Corn_(maize)___Northern_Leaf_Blight,0.9527027027027027,0.9724137931034482,0.962457337883959,148,7,0.9527027027027029,-1.1102230246251565e-16
Corn_(maize)___healthy,1.0,1.0,1.0,174,0,1.0,0.0
Grape___Black_rot,1.0,1.0,1.0,177,0,1.0,0.0
Grape___Esca_(Black_Measles),1.0,0.9952153110047847,0.9976019184652278,208,0,1.0,0.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,1.0,1.0,161,0,1.0,0.0
Grape___healthy,1.0,1.0,1.0,64,0,1.0,0.0
Orange___Haunglongbing_(Citrus_greening),1.0,0.9987908101571947,0.999395039322444,826,0,1.0,0.0
Peach___Bacterial_spot,0.9912790697674418,1.0,0.9956204379562044,344,3,0.9912790697674418,0.0
Peach___healthy,1.0,1.0,1.0,54,0,1.0,0.0
"Pepper,_bell___Bacterial_spot",1.0,0.9933333333333333,0.9966555183946488,149,0,1.0,0.0
"Pepper,_bell___healthy",1.0,1.0,1.0,222,0,1.0,0.0
Potato___Early_blight,1.0,0.9868421052631579,0.9933774834437086,150,0,1.0,0.0
Potato___Late_blight,0.9933333333333333,0.9802631578947368,0.9867549668874173,150,1,0.9933333333333332,1.1102230246251565e-16
Potato___healthy,1.0,1.0,1.0,23,0,1.0,0.0
Raspberry___healthy,1.0,1.0,1.0,56,0,1.0,0.0
Soybean___healthy,1.0,1.0,1.0,763,0,1.0,0.0
Squash___Powdery_mildew,1.0,1.0,1.0,275,0,1.0,0.0
Strawberry___Leaf_scorch,0.9939759036144579,0.9939759036144579,0.9939759036144579,166,1,0.993975903614458,-1.1102230246251565e-16
Strawberry___healthy,1.0,1.0,1.0,68,0,1.0,0.0
Tomato___Bacterial_spot,1.0,0.9696048632218845,0.9845679012345679,319,0,1.0,0.0
Tomato___Early_blight,0.9733333333333334,0.9798657718120806,0.9765886287625418,150,4,0.9733333333333334,0.0
Tomato___Late_blight,0.9755244755244755,1.0,0.9876106194690265,286,7,0.9755244755244756,-1.1102230246251565e-16
Tomato___Leaf_Mold,1.0,0.9794520547945206,0.9896193771626297,143,0,1.0,0.0
Tomato___Septoria_leaf_spot,0.9774436090225563,0.9923664122137404,0.9848484848484849,266,6,0.9774436090225564,-1.1102230246251565e-16
Tomato___Spider_mites Two-spotted_spider_mite,0.9880478087649402,0.9802371541501976,0.9841269841269841,251,3,0.9880478087649402,0.0
Tomato___Target_Spot,0.990521327014218,0.9675925925925926,0.9789227166276346,211,2,0.990521327014218,0.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9838308457711443,1.0,0.9918495297805643,804,13,0.9838308457711444,-1.1102230246251565e-16
Tomato___Tomato_mosaic_virus,1.0,1.0,1.0,56,0,1.0,0.0
Tomato___healthy,1.0,1.0,1.0,239,0,1.0,0.0
